Aspect Ratio,Centroid_x,Centroid_y,Cropped Frame,Eccentricity,Equivalent Diameter,Extent,Haralick Texture0,Haralick Texture1,Haralick Texture10,Haralick Texture11,Haralick Texture12,Haralick Texture2,Haralick Texture3,Haralick Texture4,Haralick Texture5,Haralick Texture6,Haralick Texture7,Haralick Texture8,Haralick Texture9,Hu Moments0,Hu Moments1,Hu Moments2,Hu Moments3,Hu Moments4,Hu Moments5,Hu Moments6,Linear Binary Patterns0,Linear Binary Patterns1,Linear Binary Patterns10,Linear Binary Patterns100,Linear Binary Patterns101,Linear Binary Patterns102,Linear Binary Patterns103,Linear Binary Patterns104,Linear Binary Patterns105,Linear Binary Patterns106,Linear Binary Patterns107,Linear Binary Patterns108,Linear Binary Patterns109,Linear Binary Patterns11,Linear Binary Patterns110,Linear Binary Patterns111,Linear Binary Patterns112,Linear Binary Patterns113,Linear Binary Patterns114,Linear Binary Patterns115,Linear Binary Patterns116,Linear Binary Patterns117,Linear Binary Patterns118,Linear Binary Patterns119,Linear Binary Patterns12,Linear Binary Patterns120,Linear Binary Patterns121,Linear Binary Patterns122,Linear Binary Patterns123,Linear Binary Patterns124,Linear Binary Patterns125,Linear Binary Patterns126,Linear Binary Patterns127,Linear Binary Patterns128,Linear Binary Patterns129,Linear Binary Patterns13,Linear Binary Patterns130,Linear Binary Patterns131,Linear Binary Patterns132,Linear Binary Patterns133,Linear Binary Patterns134,Linear Binary Patterns135,Linear Binary Patterns136,Linear Binary Patterns137,Linear Binary Patterns138,Linear Binary Patterns139,Linear Binary Patterns14,Linear Binary Patterns140,Linear Binary Patterns141,Linear Binary Patterns142,Linear Binary Patterns143,Linear Binary Patterns144,Linear Binary Patterns145,Linear Binary Patterns146,Linear Binary Patterns147,Linear Binary Patterns148,Linear Binary Patterns149,Linear Binary Patterns15,Linear Binary Patterns150,Linear Binary Patterns151,Linear Binary Patterns152,Linear Binary Patterns153,Linear Binary Patterns154,Linear Binary Patterns155,Linear Binary Patterns156,Linear Binary Patterns157,Linear Binary Patterns158,Linear Binary Patterns159,Linear Binary Patterns16,Linear Binary Patterns160,Linear Binary Patterns161,Linear Binary Patterns162,Linear Binary Patterns163,Linear Binary Patterns164,Linear Binary Patterns165,Linear Binary Patterns166,Linear Binary Patterns167,Linear Binary Patterns168,Linear Binary Patterns169,Linear Binary Patterns17,Linear Binary Patterns170,Linear Binary Patterns171,Linear Binary Patterns172,Linear Binary Patterns173,Linear Binary Patterns174,Linear Binary Patterns175,Linear Binary Patterns176,Linear Binary Patterns177,Linear Binary Patterns178,Linear Binary Patterns179,Linear Binary Patterns18,Linear Binary Patterns180,Linear Binary Patterns181,Linear Binary Patterns182,Linear Binary Patterns183,Linear Binary Patterns184,Linear Binary Patterns185,Linear Binary Patterns186,Linear Binary Patterns187,Linear Binary Patterns188,Linear Binary Patterns189,Linear Binary Patterns19,Linear Binary Patterns190,Linear Binary Patterns191,Linear Binary Patterns192,Linear Binary Patterns193,Linear Binary Patterns194,Linear Binary Patterns195,Linear Binary Patterns196,Linear Binary Patterns197,Linear Binary Patterns198,Linear Binary Patterns199,Linear Binary Patterns2,Linear Binary Patterns20,Linear Binary Patterns200,Linear Binary Patterns201,Linear Binary Patterns202,Linear Binary Patterns203,Linear Binary Patterns204,Linear Binary Patterns205,Linear Binary Patterns206,Linear Binary Patterns207,Linear Binary Patterns208,Linear Binary Patterns209,Linear Binary Patterns21,Linear Binary Patterns210,Linear Binary Patterns211,Linear Binary Patterns212,Linear Binary Patterns213,Linear Binary Patterns214,Linear Binary Patterns215,Linear Binary Patterns216,Linear Binary Patterns217,Linear Binary Patterns218,Linear Binary Patterns219,Linear Binary Patterns22,Linear Binary Patterns220,Linear Binary Patterns221,Linear Binary Patterns222,Linear Binary Patterns223,Linear Binary Patterns224,Linear Binary Patterns225,Linear Binary Patterns226,Linear Binary Patterns227,Linear Binary Patterns228,Linear Binary Patterns229,Linear Binary Patterns23,Linear Binary Patterns230,Linear Binary Patterns231,Linear Binary Patterns232,Linear Binary Patterns233,Linear Binary Patterns234,Linear Binary Patterns235,Linear Binary Patterns236,Linear Binary Patterns237,Linear Binary Patterns238,Linear Binary Patterns239,Linear Binary Patterns24,Linear Binary Patterns240,Linear Binary Patterns241,Linear Binary Patterns242,Linear Binary Patterns243,Linear Binary Patterns244,Linear Binary Patterns245,Linear Binary Patterns246,Linear Binary Patterns247,Linear Binary Patterns248,Linear Binary Patterns249,Linear Binary Patterns25,Linear Binary Patterns250,Linear Binary Patterns251,Linear Binary Patterns252,Linear Binary Patterns253,Linear Binary Patterns254,Linear Binary Patterns255,Linear Binary Patterns26,Linear Binary Patterns27,Linear Binary Patterns28,Linear Binary Patterns29,Linear Binary Patterns3,Linear Binary Patterns30,Linear Binary Patterns31,Linear Binary Patterns32,Linear Binary Patterns33,Linear Binary Patterns34,Linear Binary Patterns35,Linear Binary Patterns36,Linear Binary Patterns37,Linear Binary Patterns38,Linear Binary Patterns39,Linear Binary Patterns4,Linear Binary Patterns40,Linear Binary Patterns41,Linear Binary Patterns42,Linear Binary Patterns43,Linear Binary Patterns44,Linear Binary Patterns45,Linear Binary Patterns46,Linear Binary Patterns47,Linear Binary Patterns48,Linear Binary Patterns49,Linear Binary Patterns5,Linear Binary Patterns50,Linear Binary Patterns51,Linear Binary Patterns52,Linear Binary Patterns53,Linear Binary Patterns54,Linear Binary Patterns55,Linear Binary Patterns56,Linear Binary Patterns57,Linear Binary Patterns58,Linear Binary Patterns59,Linear Binary Patterns6,Linear Binary Patterns60,Linear Binary Patterns61,Linear Binary Patterns62,Linear Binary Patterns63,Linear Binary Patterns64,Linear Binary Patterns65,Linear Binary Patterns66,Linear Binary Patterns67,Linear Binary Patterns68,Linear Binary Patterns69,Linear Binary Patterns7,Linear Binary Patterns70,Linear Binary Patterns71,Linear Binary Patterns72,Linear Binary Patterns73,Linear Binary Patterns74,Linear Binary Patterns75,Linear Binary Patterns76,Linear Binary Patterns77,Linear Binary Patterns78,Linear Binary Patterns79,Linear Binary Patterns8,Linear Binary Patterns80,Linear Binary Patterns81,Linear Binary Patterns82,Linear Binary Patterns83,Linear Binary Patterns84,Linear Binary Patterns85,Linear Binary Patterns86,Linear Binary Patterns87,Linear Binary Patterns88,Linear Binary Patterns89,Linear Binary Patterns9,Linear Binary Patterns90,Linear Binary Patterns91,Linear Binary Patterns92,Linear Binary Patterns93,Linear Binary Patterns94,Linear Binary Patterns95,Linear Binary Patterns96,Linear Binary Patterns97,Linear Binary Patterns98,Linear Binary Patterns99,Major Axis,Minor Axis,Original Frame,Roundness,Solidity,True Classification,Zernlike Moments0,Zernlike Moments1,Zernlike Moments10,Zernlike Moments11,Zernlike Moments12,Zernlike Moments13,Zernlike Moments14,Zernlike Moments15,Zernlike Moments16,Zernlike Moments17,Zernlike Moments18,Zernlike Moments19,Zernlike Moments2,Zernlike Moments20,Zernlike Moments21,Zernlike Moments22,Zernlike Moments23,Zernlike Moments24,Zernlike Moments3,Zernlike Moments4,Zernlike Moments5,Zernlike Moments6,Zernlike Moments7,Zernlike Moments8,Zernlike Moments9
0.8235294117647058,618,144,./Crops/0.tif,0.61413275228746,29,0.6743697478991597,0.29848861067016036,442.460700296708,3.1515019175856365,-0.6946087299265585,0.9975330553488284,0.9768376615556947,9533.55116694927,0.641944224127637,142.07778357714173,37691.74396750036,4.373111152310294,4.997146445929054,0.0015463858270617396,0.0007670802762916019,4.736855586561115e-08,3.184469183640059e-11,3.4607608463811337e-12,3.4320113156255e-23,7.476349298613644e-16,-1.191900244643932e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,227,0,0,0,65,0,9,0,0,0,0,0,35,0,0,0,246,0,0,0,0,39,0,0,0,31,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,18,0,99,0,0,0,32,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,260,0,229,0,0,0,0,3,0,0,0,1,0,0,0,8,0,227,52,0,10,0,0,0,0,256,9,0,1,12,3,0,8,37407,0,0,19,0,2,150,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,277,0,45,7,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,24,./Dataset/WellA1_Seq0000_WellA1_Seq0000_T02_XY4_RGB.tif,1.3859088249041684,0.9427312775330396,Healthy,0.31830988618379036,0.020135133574767865,0.04309527971180545,0.005450904277465331,0.004670573172647848,0.028462168903087344,0.02432231845640936,0.005777315405550857,0.009725611259925002,0.021427925899506754,0.0062823688065412496,0.00846516815410669,0.19106031872225263,0.010190036995530912,0.01268073522795482,0.004782502321184271,0.007754279350230138,0.009769288125177005,0.07719399498668675,0.03609794876719921,0.062295155060642635,0.06184923534010868,0.027376206387221685,0.03951940114414569,0.018133313481197795
0.6666666666666666,397,186,./Crops/1.tif,0.7385455193564759,22,0.6141666666666666,0.3764206792311053,225.46816833685347,2.9981079191669906,-0.6717715398444998,0.9952889136300943,0.9654114709126287,3249.3815445696378,0.6379172595853724,66.03580828053146,12772.058009941698,3.9911231110162504,4.622839270403075,0.0018998010545454845,0.0012740097496007627,3.250473381638777e-07,6.663973182109401e-12,1.939372317077843e-11,1.8987095318962927e-22,-2.9530535310825056e-15,-1.1206264195481743e-22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2,322,0,0,0,37,0,0,0,2,2,0,0,30,0,0,0,205,0,0,0,0,27,0,0,0,24,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,1,84,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,86,0,208,0,0,0,0,4,1,0,0,0,0,0,0,0,0,214,9,0,2,0,0,0,2,283,2,0,0,0,2,1,1,37767,0,0,23,0,0,111,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,39,0,1,0,2,177,0,19,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,17,./Dataset/WellA1_Seq0000_WellA1_Seq0000_T02_XY4_RGB.tif,1.7618837401914573,0.8911729141475212,Damaged,0.3183098861837905,0.012770362896979661,0.02176563713091823,0.015228121684186451,0.024051181525996935,0.007816049059338609,0.0034644241546385865,0.022900968417978194,0.019221065151242018,0.014131499083252628,0.009857845226046819,0.004288426212400419,0.30065800597592535,0.009273378537055397,0.012962027921281207,0.013535168750064849,0.03250357724774806,0.009833096306018732,0.11857941148731121,0.0601322045658258,0.030550068807131098,0.0748966962707663,0.06938294202197362,0.059790457145414394,0.030662646800084462
0.5,348,57,./Crops/10.tif,0.8842315217866188,14,0.6652892561983471,0.4219488498263889,327.19371527777776,2.4999648865935953,-0.5498618485938045,0.9696714343683737,0.8959444496924488,1566.8874579861113,0.712887545959368,48.55083333333334,5940.356116666666,3.1570247125428272,3.737372199045338,0.004258718843944073,0.0021822314328296664,1.885875130774344e-06,1.4147388270444178e-10,3.3753100493757536e-11,2.3322664276986798e-21,4.613948439566155e-14,-2.763465667511525e-23,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,73,0,0,0,16,0,2,2,4,0,0,0,20,0,0,0,88,2,0,0,0,16,0,0,0,34,0,0,0,0,0,0,64,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,17,0,28,0,0,0,30,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,20,0,221,0,0,0,0,7,0,0,0,0,0,1,0,5,1,82,20,1,8,0,0,0,3,236,4,0,0,4,3,3,1,39146,0,0,10,0,0,28,8,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,49,0,26,6,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,./Dataset/WellA1_Seq0000_WellA1_Seq0000_T03_XY8_RGB.tif,1.5467732225223996,0.9387755102040817,Healthy,0.31830988618379075,0.009733309800991607,0.008686019159461522,0.011377773447545083,0.04200629855937791,0.05346839226325864,0.051257878233333,0.027656949232843422,0.02192149117126222,0.012999105473265353,0.00981365431801726,0.007538834680823136,0.17112928556459212,0.012006485634193738,0.01295641347653192,0.01656005092100846,0.002546098625305988,0.019680604748361853,0.1487873447397392,0.003239913440738257,0.01340890434587443,0.01133684724478046,0.021397170944060247,0.01848655548894291,0.02323600021091417
0.75,626,335,./Crops/100.tif,0.7227748844299451,19,0.6400462962962963,0.3238135690738225,142.49142084994918,2.940928048867213,-0.589794033513426,0.9906314420128666,0.9471951895904597,1345.9551390634215,0.620569883656923,53.249869679672635,5241.3291354037365,3.9839947016055377,4.772878811363617,0.0033924531035356806,0.002041263441645585,6.069461076619388e-07,1.8533549965139278e-11,3.3825429178838212e-12,-2.513991638983762e-23,-2.3583324295458774e-15,-9.23386903848191e-24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,166,0,0,0,6,0,0,0,2,0,0,0,19,1,0,0,123,0,0,0,0,15,0,0,0,52,0,0,0,0,0,0,164,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,60,0,0,0,24,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,107,0,216,0,0,0,0,0,0,0,0,0,0,0,1,1,0,194,17,0,4,0,0,0,1,320,1,0,0,1,4,1,0,38208,0,0,5,0,0,89,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,67,0,25,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,./Dataset/WellA1_Seq0000_WellA1_Seq0000_T17_XY1_RGB.tif,1.3707133790338397,0.9357021996615905,Damaged,0.3183098861837897,0.0032108661553223164,0.01686466005395965,0.004162430947714015,0.0015796258186336685,0.010246734768573544,0.012941289788868349,0.008204390244259082,0.007877922425195307,0.01576716227464188,0.019155348899545625,0.011479062194979177,0.1475234742779685,0.011550528985298108,0.009984218161700134,0.012481863963727682,0.015809125195520475,0.002378328654294541,0.09151167242547216,0.02171846493176596,0.013929551830514275,0.036551893218315916,0.022904499680989558,0.010195371498482191,0.007522267923135581
0.6666666666666666,436,336,./Crops/101.tif,0.8196011806560837,21,0.6820987654320988,0.08474917997641354,85.82462324993517,3.30201068119307,-0.463870143941104,0.9892745667984962,0.8997734074335852,429.4394844963341,0.47839753954572856,50.538187872698984,1631.9333147354014,5.1755425437960305,6.468360005022085,0.0031391692583064637,0.0040239981771034725,3.7972582583072816e-06,1.201764718736788e-10,1.7393354294808539e-12,2.4208879242715148e-23,3.3799044609494433e-15,-6.804232238475125e-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,112,0,1,0,37,0,11,1,0,0,0,0,27,0,0,0,115,0,0,0,0,34,0,0,0,141,0,0,0,2,0,0,126,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,1,0,53,0,0,0,34,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,50,0,238,1,0,0,0,15,0,0,0,0,0,0,2,8,0,128,34,0,12,0,0,0,0,327,40,0,0,14,23,5,7,38045,0,0,9,0,1,57,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,2,0,0,0,50,0,32,26,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,26,15,./Dataset/WellA1_Seq0000_WellA1_Seq0000_T17_XY1_RGB.tif,1.333315250750372,0.9417613636363636,Healthy,0.31830988618379047,0.0017770985676444757,0.007957881218333407,0.016119270060827293,0.009252165190888445,0.02494158931513548,0.02149818330406828,0.0316368427942462,0.021176985253668606,0.017948769904272188,0.02721687515748601,0.01606844229817423,0.1542113533818174,0.021358263596034634,0.028660419502888158,0.027855680992606324,0.012160902753191111,0.01203228172432069,0.11402210939247567,0.003513149908906014,0.01895129988257123,0.03470666423002617,0.022577361119783913,0.01699038977710719,0.016432885441924245
0.8421052631578947,750,340,./Crops/102.tif,0.6442962259942306,16,0.6891447368421053,0.16380874235478024,998.3577933222383,4.1360819634068156,-0.6900515041693035,0.9989282288992163,0.9459504735946063,9212.363951926514,0.4890503121650382,159.13935926773456,35851.09801438382,5.166246321155517,5.845617475706667,0.0008910109478677641,0.0007562208171907519,3.775653071479505e-08,1.1111388349906181e-12,3.5779199796983685e-14,-6.721894283371166e-27,4.833694952290508e-18,2.38943268661738e-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,117,0,0,0,8,0,2,1,0,0,0,0,21,0,0,0,106,0,0,0,0,17,0,0,0,20,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,0,78,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,68,0,203,0,0,0,0,2,0,1,0,0,0,0,0,2,0,136,7,0,1,0,0,0,0,212,1,0,0,4,2,0,4,38596,0,0,9,0,0,60,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,103,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,./Dataset/WellA1_Seq0000_WellA1_Seq0000_T17_XY1_RGB.tif,1.3537320728420643,0.9352678571428571,Healthy,0.3183098861837909,0.00376484528282701,0.010074462405841719,0.007181240543961946,0.047154142522502246,0.003036467403432966,0.004082551985549726,0.008763990172962264,0.015461880841069073,0.011687434738738248,0.015359404943703026,0.010049705912913416,0.24379801740892237,0.011386733038954542,0.023156919840421872,0.005312988321462631,0.014244425980211672,0.009081844308693918,0.07235596329563311,0.006227886954572622,0.014368616080430385,0.015694058314717527,0.017331656648558357,0.009933149623737947,0.004845977275324164
0.8,745,362,./Crops/103.tif,0.6486941797104809,17,0.66875,0.30774561089409735,713.9757291666667,3.2757647350090995,-0.7154152154027643,0.9969590207256596,0.9546524004196242,7843.024181073976,0.6193973020450226,115.13298611111111,30658.120995129244,4.10705241806517,4.590380549401762,0.0014635296951105562,0.0007655773094642038,4.348457509699206e-08,5.025601425900073e-13,2.421884926409613e-13,8.140411854333107e-26,2.1768723864548146e-17,2.2639636675591285e-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,105,0,0,0,8,0,2,0,0,0,0,0,22,0,0,0,112,0,0,0,0,23,0,0,0,27,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,61,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,74,0,207,0,0,0,0,1,0,0,0,0,0,0,0,2,0,112,9,0,1,0,0,0,0,221,2,0,0,3,1,0,2,38971,0,0,7,0,0,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,91,0,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,./Dataset/WellA1_Seq0000_WellA1_Seq0000_T17_XY1_RGB.tif,1.3514014674792882,0.9385964912280702,Healthy,0.31830988618379047,0.007975853718875206,0.00923345086756257,0.01482465296305978,0.03852300137297004,0.010037064170633636,0.0055926453380557625,0.006853943810183127,0.014668578490977555,0.007540137629854858,0.013803161527521266,0.019107677386447922,0.25337615205000413,0.018546403921162465,0.019681806506064242,0.0005291518409609179,0.010417280950290856,0.005694954016466631,0.06959619882991361,0.0038770354883865665,0.0046858275930893815,0.018591039709415964,0.027522945115283116,0.0052471115385439426,0.001067092599379691
0.5925925925925926,766,365,./Crops/104.tif,0.8344157187323216,19,0.6574074074074074,0.2454020458224161,333.6267928535732,3.5833467622519795,-0.6107581789539891,0.996227909152444,0.9432887340165566,2935.285876305312,0.5433685697687443,88.59495877061471,11407.516712367671,4.680214946686498,5.577638023749637,0.0018587429386946134,0.001560407577503769,6.865251504013321e-07,1.035559346046821e-10,1.0432573966543274e-11,2.5211889666830097e-22,6.1214802079145415e-15,-2.3242285054960477e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,191,0,0,0,10,0,3,0,0,0,0,0,27,0,0,0,110,0,0,0,0,27,0,0,0,29,1,0,0,0,0,0,242,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,11,0,72,0,0,0,25,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,103,0,226,0,0,0,0,2,1,0,0,0,0,0,0,0,1,153,5,0,1,0,0,0,0,293,3,0,0,1,5,0,0,38166,0,0,3,0,0,82,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,59,0,16,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,13,./Dataset/WellA1_Seq0000_WellA1_Seq0000_T17_XY1_RGB.tif,1.4837857582615994,0.9296235679214403,Healthy,0.3183098861837907,0.015655281037146713,0.014834442061286118,0.009209165775776544,0.02941907170966042,0.01639192044650286,0.02650726029868722,0.01356534009360418,0.007221741607576781,0.02593497992819553,0.015140526970413596,0.015453842649696577,0.1644225443330051,0.008553686441977433,0.013650833659811222,0.015591663607728512,0.007717735139596379,0.007878197587444877,0.1280053589501096,0.01901290828533888,0.027566583855212583,0.010967782329859847,0.013286481746713739,0.0038276264695444734,0.009229686563903588
0.8431372549019608,77,417,./Crops/105.tif,0.6292861704675657,41,0.5934792521659826,0.31368240705658595,345.14105841845947,3.041558103670731,-0.6530093866621784,0.9966995246100097,0.9824936610798126,9845.505330677439,0.6545251791256279,147.36835325952558,39036.88026429129,4.389735598288635,5.184163524376407,0.0016062163863321006,0.00088067721123599,9.062812856805483e-08,1.840908559154652e-10,1.646099918361712e-11,8.608920028279977e-22,3.606987052132251e-15,2.8279662402446034e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,424,0,0,0,103,0,9,0,0,0,0,0,75,0,0,0,360,0,0,0,0,55,0,0,0,102,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,1,35,0,413,0,0,0,113,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,639,0,316,0,0,0,0,18,1,0,0,1,0,0,0,9,0,540,110,0,15,0,0,0,0,311,13,0,0,31,10,1,13,34903,0,0,15,0,0,591,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67,0,0,0,1,289,0,35,16,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,48,38,./Dataset/WellA1_Seq0000_WellA1_Seq0000_T17_XY1_RGB.tif,1.7583243181417536,0.8673775408197267,Damaged,0.31830988618379163,0.05073978524852551,0.07746249402783668,0.026072027565341795,0.03632144633738927,0.02984097427655116,0.020916955378784637,0.016099801295336603,0.04018004640313688,0.01786404651165711,0.02593270916977135,0.02166986137458805,0.1447539489286498,0.013984029896382909,0.018916787542528523,0.007629606332358563,0.004145192053055774,0.015037090651819742,0.08938357265753584,0.034772899186053,0.12072598787744529,0.011735946277211464,0.05060320220924669,0.0614742796106313,0.052730990401295516
0.7777777777777778,839,424,./Crops/106.tif,0.6694321000225142,29,0.6537698412698413,0.2542913161595089,136.0558371396934,3.0358964985220442,-0.5520004031669278,0.9937084979953776,0.9635847418779934,1866.367295451049,0.5873986525027839,74.06513763452023,7329.413344664505,4.646029700121714,5.766610633858669,0.0024711844725068084,0.0017751849612518363,2.3282051906386548e-07,2.677030827024518e-10,1.3193631579250657e-11,-2.2087032891833424e-22,3.622550580572912e-15,7.523523738011045e-22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,274,0,1,0,101,0,12,1,1,1,0,0,49,0,0,0,306,0,0,0,1,38,0,0,0,138,0,0,0,0,0,0,205,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,1,14,0,147,0,0,0,92,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,138,0,260,0,1,0,0,8,1,0,0,1,0,0,0,7,0,446,91,1,29,0,0,0,7,386,35,0,0,14,17,5,4,36951,0,0,14,0,1,124,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,42,0,0,0,0,199,0,51,12,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,25,./Dataset/WellA1_Seq0000_WellA1_Seq0000_T17_XY1_RGB.tif,1.3713956471805728,0.953000723065799,Healthy,0.31830988618379075,0.017336991264579674,0.014187317644502099,0.014569061742022297,0.001577449233190082,0.010495144873506336,0.01169169213121517,0.008156396862620381,0.005736715058751072,0.014353492719929785,0.0005460389618289685,0.007924393946428134,0.1276009516728144,0.0163773052866505,0.0076370309913795795,0.015248335363920213,0.004915297499286882,0.006794768977357751,0.06752627369386177,0.022097605775386223,0.03367388297842063,0.029157368089662815,0.021706085780031845,0.01435093253634124,0.023658803129881847
