,Frame location,IOU Per Nuclei,Average Precision
0,./Manning_Simple/Overlay/img1/WellA1_Seq0000_WellA1_Seq0000_T02_XY4_RGB.tif,"[0.8293370944992948, 0.7479674796747967, 0.7639097744360902, 0.7969924812030075, 0.7566302652106084, 0.625, 0.755741127348643, 0.8857142857142857]",1
1,./Manning_Simple/Overlay/img10/WellC4_Seq0011_WellC4_Seq0011_T03_XY6_RGB.tif,"[0.7828418230563002, 0.8521739130434782, 0, 0.43548387096774194, 0.4042672655811342, 0.8465346534653465, 0.6164021164021164, 0.6681681681681682, 0.599406528189911, 0]",0.6
2,./Manning_Simple/Overlay/img11/WellB4_Seq0004_WellB4_Seq0004_T01_XY1_RGB.tif,"[0.7538860103626943, 0.666023166023166, 0.8641160949868074, 0.7081967213114754, 0.8288543140028288, 0.8180212014134276, 0.8972868217054264, 0.7566938300349243, 0.7735849056603774, 0.8075370121130552]",1
3,./Manning_Simple/Overlay/img12/WellB4_Seq0004_WellB4_Seq0004_T01_XY2_RGB.tif,"[0.47164948453608246, 0.8151750972762646, 0.8755186721991701, 0.7835325365205843, 0.7272727272727273, 0.7549407114624506, 0.6589259796806967, 0.7036553524804178, 0.6557759626604434, 0.714078374455733]",0.9
4,./Manning_Simple/Overlay/img13/WellB4_Seq0004_WellB4_Seq0004_T02_XY5_RGB.tif,"[0.40186915887850466, 0, 0.5249433106575964, 0.2798573975044563, 0.4280532043530834, 0.6391650099403579, 0.16763678696158324, 0.497196261682243, 0, 0.4482758620689655, 0.34509803921568627]",0.1818181818
5,./Manning_Simple/Overlay/img14/WellC2_Seq0009_WellC2_Seq0009_T01_XY4_RGB.tif,"[0.7675233644859814, 0.8896, 0.8070175438596491, 0.8790322580645161, 0.8036175710594315, 0.7643979057591623, 0, 0.8523206751054853, 0.9289940828402367, 0.6223091976516634, 0.8692722371967655, 0.878625134264232]",0.9166666667
6,./Manning_Simple/Overlay/img15/WellC2_Seq0009_WellC2_Seq0009_T01_XY6_RGB.tif,"[0.739524348810872, 0.7880184331797235, 0.9210110584518167, 0.9259980525803311, 0.7182890855457227, 0, 0.5502092050209205, 0, 0.8875338753387534, 0.8782051282051282, 0.762406015037594, 0.8553672316384181]",0.8333333333
7,./Manning_Simple/Overlay/img16/WellC3_Seq0010_WellC3_Seq0010_T08_XY8_RGB.tif,"[0.9368029739776952, 0.5589887640449438, 0.9473684210526315, 0.7715959004392386, 0.9172610556348074, 0.927027027027027, 0.916354556803995, 0.7516556291390728, 0.8120300751879699, 0.9552941176470588, 0.8870431893687708, 0.9421965317919075, 0.7909604519774012, 0.864423076923077, 0.7344461305007587]",1
8,./Manning_Simple/Overlay/img17/WellA1_Seq0000_WellA1_Seq0000_T17_XY1_RGB.tif,"[0.7699530516431925, 0.8203592814371258, 0.7688984881209503, 0.5609756097560976, 0.8961937716262975, 0.8411214953271028, 0.9005524861878453, 0.7675, 0.9056179775280899, 0.8453333333333334, 0.8953771289537713, 0.5460750853242321, 0.3696682464454976, 0, 0.7622377622377622, 0.8325123152709359, 0.8387096774193549, 0.84375, 0.8276923076923077, 0.8408163265306122, 0.45217391304347826, 0.8551136363636364, 0.2078125]",0.8260869565
9,./Manning_Simple/Overlay/img18/WellA1_Seq0000_WellA1_Seq0000_T03_XY8_RGB.tif,"[0.3952569169960474, 0.4564755838641189, 0.48559670781893005, 0.8841463414634146, 0.8981481481481481, 0.3075356415478615, 0.8546511627906976, 0.5666666666666667, 0.8217522658610272, 0.49206349206349204, 0.92, 0.4953789279112754, 0.6530612244897959, 0.5238095238095238, 0.558252427184466, 0.6190476190476191, 0.5382978723404256, 0.747148288973384, 0.7361419068736141, 0.692167577413479, 0.32868217054263565, 0.4878048780487805, 0.5766871165644172, 0.427536231884058, 0.6688453159041394]",0.64
